['22', '教父', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg', '导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:马龙·白兰度M...1972 / 美国 / 剧情犯罪', '9.3', '1009540人评价', '千万不要记恨你的对手，这样会让你失去理智。']
['23', '触不可及', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg', '导演:奥利维·那卡什OlivierNakache/艾力克·托兰达EricToledano   主...2011 / 法国 / 剧情喜剧', '9.3', '1171285人评价', '满满温情的高雅喜剧。']
['24', '当幸福来敲门', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg', '导演:加布里尔·穆奇诺GabrieleMuccino   主演:威尔·史密斯WillSmith...2006 / 美国 / 剧情传记家庭', '9.2', '1572443人评价', '平民励志片。 ']
['25', '寻梦环游记', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2505426431.jpg', '导演:李·昂克里奇LeeUnkrich/阿德里安·莫利纳AdrianMolina   主演:...2017 / 美国 / 喜剧动画奇幻音乐', '9.1', '1767023人评价', '死亡不是真的逝去，遗忘才是永恒的消亡。']
['26', '末代皇帝', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg', '导演:贝纳尔多·贝托鲁奇BernardoBertolucci   主演:尊龙JohnLone/陈...1987 / 英国意大利中国大陆法国 / 剧情传记历史', '9.3', '930211人评价', '“不要跟我比惨，我比你更惨”再适合这部电影不过了。']
['27', '龙猫', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg', '导演:宫崎骏HayaoMiyazaki   主演:日高法子NorikoHidaka/坂本千夏Ch...1988 / 日本 / 动画奇幻冒险', '9.2', '1312266人评价', '人人心中都有个龙猫，童年就永远不会消失。']
['28', '怦然心动', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg', '导演:罗伯·莱纳RobReiner   主演:玛德琳·卡罗尔MadelineCarroll/卡...2010 / 美国 / 剧情喜剧爱情', '9.1', '1900305人评价', '真正的幸福是来自内心深处。']
['29', '活着', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.jpg', '导演:张艺谋YimouZhang   主演:葛优YouGe/巩俐LiGong/姜武WuJiang1994 / 中国大陆中国香港 / 剧情历史家庭', '9.3', '885858人评价', '张艺谋最好的电影。']
['30', '哈利·波特与魔法石', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg', '导演:ChrisColumbus   主演:DanielRadcliffe/EmmaWatson/RupertGrint2001 / 美国英国 / 奇幻冒险', '9.2', '1254276人评价', '童话世界的开端。']
['31', '蝙蝠侠：黑暗骑士', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg', '导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...2008 / 美国英国 / 剧情动作科幻犯罪惊悚', '9.2', '1104232人评价', '无尽的黑暗。']
['32', '指环王3：王者无敌', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg', '导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...2003 / 美国新西兰 / 剧情动作奇幻冒险', '9.3', '837070人评价', '史诗的终章。']
['33', '我不是药神', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg', '导演:文牧野MuyeWen   主演:徐峥ZhengXu/王传君ChuanjunWang/周...2018 / 中国大陆 / 剧情喜剧', '9.0', '2183459人评价', '对我们国家而言，这样的电影多一部是一部。']
['34', '乱世佳人', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg', '导演:维克多·弗莱明VictorFleming/乔治·库克GeorgeCukor   主演:费...1939 / 美国 / 剧情历史爱情战争', '9.3', '719932人评价', 'Tomorrow is another day.']
['35', '飞屋环游记', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553594918.jpg', '导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson   主演:爱德...2009 / 美国 / 剧情喜剧动画冒险', '9.1', '1379556人评价', '最后那些最无聊的事情，才是最值得怀念的。 ']
['36', '素媛', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg', '导演:李濬益Jun-ikLee   主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...2013 / 韩国 / 剧情', '9.3', '715572人评价', '受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。']
['37', '哈尔的移动城堡', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2904111050.jpg', '导演:宫崎骏HayaoMiyazaki   主演:倍赏千惠子ChiekoBaishô/木村拓...2004 / 日本 / 爱情动画奇幻冒险', '9.1', '1075716人评价', '带着心爱的人在天空飞翔。']
['38', '十二怒汉', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg', '导演:SidneyLumet   主演:亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...1957 / 美国 / 剧情', '9.4', '517536人评价', '1957年的理想主义。 ']
['39', '让子弹飞', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg', '导演:姜文WenJiang   主演:姜文WenJiang/葛优YouGe/周润发Yun-F...2010 / 中国大陆中国香港 / 剧情喜剧动作西部', '9.0', '1768327人评价', '你给我翻译翻译，神马叫做TMD的惊喜。']
['40', '何以为家', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg', '导演:娜丁·拉巴基NadineLabaki   主演:扎因·拉费阿Zainal-Rafeea/...2018 / 黎巴嫩美国法国塞浦路斯卡塔尔英国 / 剧情', '9.1', '1084349人评价', '凝视卑弱生命，用电影改变命运。']
['41', '摔跤吧！爸爸', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg', '导演:涅提·蒂瓦里NiteshTiwari   主演:阿米尔·汗AamirKhan/法缇玛...2016 / 印度 / 剧情传记运动家庭', '9.0', '1623327人评价', '你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。']
['42', '猫鼠游戏', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg', '导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:莱昂纳多·迪卡普里奥L...2002 / 美国加拿大 / 传记犯罪剧情', '9.1', '1082236人评价', '骗子大师和执著警探的你追我跑故事。 ']
['43', '天空之城', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2892380420.jpg', '导演:宫崎骏HayaoMiyazaki   主演:田中真弓MayumiTanaka/横泽启子Ke...1986 / 日本 / 动画奇幻冒险', '9.2', '919199人评价', '对天空的追逐，永不停止。 ']
['44', '海蒂和爷爷', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg', '导演:阿兰·葛斯彭纳AlainGsponer   主演:阿努克·斯特芬AnukSteffen/...2015 / 德国瑞士 / 剧情冒险家庭', '9.3', '664583人评价', '如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。']
['45', '鬼子来了', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg', '导演:姜文WenJiang   主演:姜文WenJiang/香川照之TeruyukiKagawa/...2000 / 中国大陆 / 剧情喜剧', '9.3', '653586人评价', '对敌人的仁慈，就是对自己残忍。']
['46', '少年派的奇幻漂流', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg', '导演:李安AngLee   主演:苏拉·沙玛SurajSharma/伊尔凡·可汗Irrfan...2012 / 美国中国台湾英国加拿大 / 剧情奇幻冒险', '9.1', '1394199人评价', '瑰丽壮观、无人能及的冒险之旅。']
['47', '钢琴家', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1381339291.jpg', '导演:罗曼·波兰斯基RomanPolanski   主演:艾德里安·布洛迪AdrienBrod...2002 / 英国法国波兰德国 / 剧情传记战争音乐', '9.3', '674944人评价', '音乐能化解仇恨。']
['48', '大话西游之月光宝盒', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg', '导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg...1995 / 中国香港中国大陆 / 喜剧爱情奇幻古装', '9.0', '1264469人评价', '旷古烁今。']
['49', '指环王2：双塔奇兵', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.jpg', '导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...2002 / 美国新西兰 / 剧情动作奇幻冒险', '9.2', '785965人评价', '承前启后的史诗篇章。']
['50', '闻香识女人', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg', '导演:马丁·布莱斯MartinBrest   主演:阿尔·帕西诺AlPacino/克里斯...1992 / 美国 / 剧情', '9.1', '928932人评价', '史上最美的探戈。']
['51', '死亡诗社', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg', '导演:彼得·威尔PeterWeir   主演:罗宾·威廉姆斯RobinWilliams/罗伯...1989 / 美国 / 剧情', '9.2', '768022人评价', '当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。']
['52', '绿皮书', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2531065411.jpg', '导演:彼得·法雷里PeterFarrelly   主演:维果·莫腾森ViggoMortensen/...2018 / 美国中国大陆 / 剧情喜剧传记音乐', '8.9', '1723571人评价', '去除成见，需要勇气。']
